"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP";"otrasTexto"
2014;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;592;3241;42556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;592;3241;42556;"Otros"
2014;619,00;638;880;0;0;1034;1198;0;0;0;0;0;0;260;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4248;9309;0;0;1039;1455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;641;0;0;0;0;0;0;0;0;0;0;386;406;0;0;7929;14251;0;0;"Otros"
2014;163,00;187;476;0;0;160;296;0;0;0;0;0;0;243;350;0;0;0;0;0;0;1982;5452;0;0;198;774;0;0;1661;3934;0;0;0;0;0;0;195;157;0;0;581;1369;0;0;612;2130;0;0;1320;1852;0;0;0;0;0;0;441;567;0;0;0;0;0;0;0;0;0;0;7580;17357;0;0;"Otros"
2014;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;1275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;1652;0;0;0;0;0;0;586;2927;0;0;"Otros"
2014;1090,00;5212;23897;0;0;6474;25162;0;0;3908;29948;10646;10070;5624;17667;4;61;675;8826;0;0;18943;134693;0;0;7305;34070;0;0;17143;57491;70;115;3287;23356;7248;19574;12710;66638;216;782;9013;21031;0;2;5581;32663;0;38;2455;6972;0;0;3290;20840;0;0;20529;20729;0;0;8672;24348;0;0;4093;28559;0;0;134914;576890;18184;30642;"Otros"
2014;764,00;2606;10285;0;0;3532;13101;0;0;13493;24391;0;0;4057;15658;0;0;3545;24776;0;0;27493;137717;0;0;6074;17315;0;0;16358;46691;0;0;10152;32496;0;0;21116;64608;0;0;8620;22514;0;0;4602;18363;0;0;11491;32385;0;0;3118;14968;0;0;11837;11837;0;0;10807;27305;0;0;0;0;0;0;158901;514410;0;0;"Otros"
2014;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;657,00;537;1833;0;0;169;311;0;0;2698;4246;0;0;0;0;0;0;941;4082;0;0;5234;20474;0;0;1874;4398;0;0;4145;10721;0;0;3551;9007;0;0;4883;11819;0;0;2325;6343;0;0;1226;4558;0;0;0;0;0;0;505;1753;0;0;1893;2017;0;0;2703;7299;0;0;0;0;0;0;32684;88861;0;0;"Otros"
2014;362,00;431;1592;0;0;464;2055;0;0;2312;6276;0;0;514;1922;0;0;83;368;0;0;2265;14036;0;0;579;1505;0;0;2024;6065;0;0;527;2588;0;0;318;1350;0;0;782;2780;0;0;346;1632;0;0;1740;6728;0;0;334;5105;0;0;1239;1239;0;0;1662;14814;0;0;0;0;0;0;15620;70055;0;0;"Otros"
2014;989,00;1018;3180;0;0;649;1644;0;0;3540;7154;0;0;867;2667;0;0;632;4232;0;0;4602;22788;0;0;1432;4147;0;0;3584;9106;0;0;2192;6890;0;0;3948;10100;0;0;1806;5115;0;0;1767;3831;0;0;0;0;0;0;609;2888;0;0;2548;2548;0;0;2903;7017;0;0;309;1073;0;0;32406;94380;0;0;"Otros"
2014;990,00;1241;3632;0;0;927;2682;0;0;2407;4144;0;0;889;2764;0;0;649;5227;0;0;4935;24334;0;0;1714;4495;0;0;2800;7895;0;0;2704;10056;0;0;3404;10994;0;0;2017;4839;0;0;1102;4004;0;0;0;0;0;0;0;2375;0;0;2382;2382;0;0;3283;8289;0;0;0;0;0;0;30454;98112;0;0;"Otros"
2014;680,00;1105;10798;6828;11775;1199;7444;6643;10555;2529;9322;13670;20395;1225;9206;3582;5547;0;0;0;0;14614;83696;9398;19207;1102;5751;3156;4188;7226;31154;11946;16885;3394;16419;20450;29105;1116;18800;17969;32571;1037;9750;9239;12010;1145;7883;5148;11063;7454;31525;6759;7190;4388;20890;0;0;16397;16718;0;0;3695;11455;5646;6825;0;0;0;0;67626;290811;120434;187316;"Otros"
2014;411,00;918;5114;0;0;701;1905;0;0;6045;13287;0;0;1;4;0;0;0;0;0;0;5741;18985;0;0;3156;7749;0;0;30;477;0;0;3615;15351;0;0;0;0;0;0;2479;4855;0;0;3001;8344;0;0;3817;13801;0;0;8214;9958;0;0;2991;3894;0;0;1175;1822;0;0;0;0;0;0;41884;105546;0;0;"Otros"
2014;241,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;558,00;2449;6037;0;0;348;3081;1573;3976;0;0;6518;9133;2074;5754;0;0;160;4307;4412;26227;9684;52531;2033;3655;5324;10382;0;0;2682;11300;5479;9340;4927;13166;0;0;5049;11871;9205;18346;1681;5499;4639;7285;2375;7738;0;0;0;0;4959;4959;1755;4809;0;0;4865;4935;0;0;2091;5772;708;3071;0;0;0;0;45464;147182;39526;85992;"Otros"
2014;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;248,00;7;1266;0;0;2653;13083;0;0;1267;2788;0;0;985;3751;0;0;50;109;0;0;4905;29193;0;0;723;1929;0;0;574;7700;0;0;2142;6064;0;0;2022;2569;0;0;1069;2030;0;0;1018;1187;0;0;1553;3222;0;0;1040;6898;0;0;1245;1245;0;0;1279;16137;0;0;637;13371;0;0;23169;112542;0;0;"Otros"
2014;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;591,00;4257;12098;0;0;5069;10242;0;0;8340;13923;0;0;4306;12753;0;0;4858;25668;0;0;23370;82961;0;0;3205;9139;0;0;14890;28805;0;0;11409;24055;0;0;20898;35992;0;0;8205;11977;0;0;4696;11899;0;0;5890;13557;0;0;2431;8417;0;0;10593;11761;0;0;8680;19671;0;0;0;0;0;0;141097;332918;0;0;"Otros"
2014;586,00;1335;3588;3513;6524;1410;5819;3618;8869;3568;8252;9906;17131;2423;5722;2241;4279;6205;37956;0;0;22166;64325;12892;20124;4444;8462;6524;8742;3933;9441;11051;17384;4392;9425;7961;11308;8340;17029;9337;21133;3106;5810;7077;9392;2100;5446;5381;9852;0;0;0;0;4250;9247;117;452;9454;9847;0;0;7216;17148;4029;17353;0;0;0;0;84342;217517;83647;152543;"Otros"
2014;453,00;0;0;2708;5116;2883;4182;0;0;0;0;2965;4404;3317;7252;0;0;0;0;0;0;7578;14419;1598;4795;0;0;1121;1961;0;0;3296;4147;0;0;5510;6799;0;0;4788;8097;0;0;2499;3344;0;0;1367;2979;0;0;0;0;0;0;0;0;0;0;0;0;1443;2292;0;0;0;0;0;0;15221;28145;25852;41642;"Otros"
2014;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;44;0;0;2;44;0;0;"Otros"
2014;511,00;861;4794;3018;7924;1116;3915;2295;4232;1555;4424;4489;7141;1171;4602;1635;4761;129;716;11172;29400;8725;38356;5263;13431;754;2863;3148;3787;1589;9059;5589;10202;2969;10389;3852;6161;1517;9244;13477;17083;1229;2988;2731;4502;1371;4958;2868;5490;0;0;4912;5125;1755;6614;0;0;4707;4795;0;0;2278;5099;1956;3199;0;0;0;0;31726;112816;66405;122438;"Otros"
2014;530,00;364;2918;2901;5940;457;2847;2576;4149;590;2629;7207;8836;848;3692;3592;7423;556;3806;0;0;6851;37403;6718;14012;1759;6677;3809;5733;2989;11584;9596;15476;2178;10439;6314;7595;1727;15190;11443;20398;2876;7200;4672;6834;935;7303;3789;6209;0;0;3037;6510;2779;10851;0;0;6560;6679;0;0;8880;19935;0;0;0;0;0;0;40349;149153;65654;109115;"Otros"
2014;6,00;1662;4351;0;0;733;2157;0;0;3935;9455;0;0;1765;6093;0;0;569;2880;0;0;8988;36186;0;0;890;2393;0;0;7468;22008;0;0;1086;7065;0;0;1895;3050;0;0;4390;7647;0;0;1817;8133;0;0;6087;11160;0;0;1762;12839;0;0;10057;10057;0;0;1245;4235;0;0;0;0;0;0;54349;149709;0;0;"Otros"
2014;161,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;4673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;4509;0;0;404;9182;0;0;"Otros"
2014;623,00;837;4974;3327;5782;1323;7651;3293;4916;1552;6389;7450;12005;1840;4262;1598;2370;462;3105;0;0;10233;55938;10408;16560;844;4881;3218;3868;2475;13641;5993;12968;4530;13315;7150;11663;3855;18252;11824;17600;2525;6943;6430;8666;866;7576;3234;6628;4830;11776;0;0;3190;11124;0;0;8902;8954;0;0;4222;10385;0;0;0;0;0;0;52486;189166;63925;103026;"Otros"
2014;489,00;114;148;0;0;98;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312;762;0;0;240;560;0;0;265;599;0;0;120;364;0;0;0;0;0;0;0;0;0;0;98;157;0;0;108;230;0;0;68;112;0;0;25;41;0;0;0;0;0;0;0;0;0;0;1448;3151;0;0;"Otros"
2014;875,00;2787;3979;0;0;3522;5353;0;0;9317;11448;0;0;1014;1328;0;0;1019;1552;0;0;18246;19553;0;0;3475;6453;0;0;12246;17565;0;0;8148;12038;0;0;6934;12159;0;0;4157;6721;0;0;3960;6063;0;0;1249;2500;0;0;4874;5853;0;0;1910;1966;0;0;2850;6999;0;0;0;0;0;0;85708;121530;0;0;"Otros"
2014;940,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;1912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;1912;0;0;"Otros"
2014;946,00;1583;3016;0;0;3364;4168;0;0;3995;6219;0;0;1959;4631;0;0;708;1390;0;0;9903;19952;0;0;1175;2458;0;0;6623;16200;0;0;4518;14638;0;0;1703;4323;0;0;2603;4266;0;0;1760;3657;0;0;2493;3452;0;0;1959;6632;0;0;2934;3400;0;0;4853;31885;0;0;0;0;0;0;52133;130287;0;0;"Otros"
2014;1023,00;1736;6794;0;0;1782;5734;0;0;4920;9498;0;0;2427;7185;0;0;0;0;0;0;8841;53041;0;0;2828;6241;0;0;7633;19895;0;0;4622;16719;0;0;8904;28982;0;0;4525;14234;0;0;2376;12355;0;0;3087;5514;0;0;1057;4611;0;0;8141;9902;0;0;6844;19196;0;0;0;0;0;0;69723;219901;0;0;"Otros"
2014;1054,00;3040;9455;0;0;2942;12036;0;0;1413;1417;4736;8118;2454;7583;0;0;323;1103;0;0;9219;41194;0;0;4025;9138;0;0;4599;12030;0;0;3097;7476;1680;3352;6575;20921;358;805;3609;10776;991;2886;2683;9908;0;0;2387;5300;0;0;1498;5310;0;0;8297;8873;0;0;9094;17160;601;2415;0;0;0;0;65255;179680;8366;17576;"Otros"
2014;1057,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;1031,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;1032,00;1991;7481;0;0;1927;6798;0;0;6314;14595;0;0;2383;8146;0;0;0;0;0;0;9203;49046;0;0;3167;7682;0;0;7313;18719;0;0;5462;21761;0;0;9508;29356;0;0;5465;12038;0;0;2720;11838;0;0;4551;9691;0;0;1745;8011;0;0;8794;10473;0;0;8363;21090;0;0;0;0;0;0;78906;236725;0;0;"Otros"
2014;1064,00;2705;3846;0;0;1709;2628;0;0;3701;4844;0;0;1564;2431;0;0;987;2035;0;0;0;0;0;0;1137;1702;0;0;12745;18110;0;0;4057;7567;0;0;358;483;0;0;2540;3009;0;0;1672;2233;0;0;554;688;0;0;1568;3146;0;0;2495;2629;0;0;991;3325;0;0;0;0;0;0;38783;58676;0;0;"Otros"
2014;226,00;1625;4876;0;0;2583;7748;0;0;726;2177;0;0;0;0;0;0;13;80;0;0;9440;28319;0;0;769;2308;0;0;3741;11223;0;0;3946;11839;0;0;4518;13553;0;0;1510;4529;0;0;1942;5826;0;0;543;1628;0;0;1765;5295;0;0;0;0;0;0;897;2691;0;0;0;0;0;0;34018;102092;0;0;"Otros"
2014;687,00;2945;7351;0;0;2299;3502;0;0;5272;7388;0;0;0;0;0;0;1755;10614;0;0;5131;16306;0;0;2588;4549;0;0;8544;17735;0;0;5490;19678;0;0;7735;17774;0;0;3020;6050;0;0;2502;7418;0;0;0;0;0;0;1609;3509;0;0;3636;3636;0;0;3857;8355;0;0;0;0;0;0;56383;133865;0;0;"Otros"
2014;745,00;1960;5217;5605;12325;0;1080;3763;12683;3150;7637;6595;10577;2732;7829;6505;16089;8606;53726;8606;53726;14668;72955;15547;44450;3566;8701;3061;4426;8868;23695;14203;22832;7833;23562;7701;17249;2090;3740;12915;34079;3188;9106;3715;7753;921;4705;3483;9688;8725;15020;79;299;6090;23784;0;0;7006;8099;0;0;3271;7418;4679;11683;0;0;0;0;82674;276274;96457;257859;"Otros"
2014;109,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;808,00;5569;14857;0;0;3024;9630;0;0;10852;18690;0;0;0;0;0;0;0;0;0;0;7539;31541;0;0;6801;15361;0;0;15684;44181;0;0;8931;37144;0;0;13422;37527;0;0;7706;21164;0;0;3702;10781;0;0;0;0;0;0;2740;7347;0;0;8330;8330;0;0;13343;24893;0;0;0;0;0;0;107643;281446;0;0;"Otros"
2014;971,00;1537;4479;0;0;1085;2676;0;0;2119;3269;0;0;0;0;0;0;0;0;0;0;1583;6096;0;0;1278;1980;0;0;4774;9896;0;0;1795;5828;0;0;2665;7722;0;0;1575;4012;0;0;1342;4108;0;0;0;0;0;0;0;0;0;0;2090;2090;0;0;2557;4315;0;0;0;0;0;0;24400;56471;0;0;"Otros"
2014;128,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;919,00;3185;8163;220;694;2353;7683;369;794;6487;11488;464;689;3083;7836;0;0;2221;15356;0;0;11605;53702;0;0;3110;9925;0;0;1891;5827;7178;15529;4908;20944;2033;4282;10128;21717;1569;2668;4176;12470;644;1076;2827;11365;112;486;0;0;0;0;2044;5306;0;0;5046;5614;539;567;3766;6428;461;635;0;0;0;0;66830;203824;13589;27420;"Otros"
2014;725,00;4314;15795;0;0;5862;17952;0;0;1033;1114;8872;14441;5330;15278;0;0;97;423;0;0;16695;93033;4924;13276;8763;16971;1950;8982;848;1080;15001;48835;8996;27065;3114;12815;0;0;19449;47107;0;0;9326;21743;4267;15712;0;0;9633;29524;0;0;4445;16927;2711;11634;12583;12584;1049;1049;0;0;12605;28852;0;0;0;0;82866;263458;79001;208734;"Otros"
2014;3,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;306,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;271;0;0;"Otros"
2014;15,00;255;324;0;0;67;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1874;1991;0;0;65;98;0;0;1394;2401;0;0;1344;1549;0;0;1401;1546;0;0;0;0;0;0;0;0;0;0;273;480;0;0;0;0;0;0;45;46;0;0;0;7056;0;0;0;0;0;0;6718;15561;0;0;"Otros"
2014;264,00;1938;1980;0;0;1968;4971;0;0;535;536;0;0;1;1;0;0;576;587;0;0;9674;10102;0;0;2567;2568;0;0;16819;18552;0;0;4205;4379;0;0;3061;3304;0;0;3823;3850;0;0;3556;3575;0;0;4315;4450;0;0;187;193;0;0;1123;1130;0;0;0;0;0;0;4084;4092;0;0;58432;64270;0;0;"Otros"
2014;867,00;627;727;0;0;612;705;0;0;526;562;0;0;455;542;0;0;894;1088;0;0;5590;9468;0;0;327;379;0;0;3292;5053;0;0;2222;2611;0;0;418;543;0;0;864;1127;0;0;550;701;0;0;0;0;0;0;489;590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16866;24096;0;0;"Otros"
2014;910,00;2127;5677;0;0;1629;5493;0;0;3259;5541;0;0;2395;6566;0;0;0;0;0;0;6661;34920;0;0;4818;9612;0;0;6078;15378;0;0;5031;17037;0;0;7769;15560;0;0;5095;9357;0;0;2289;9067;0;0;1594;4025;0;0;862;2219;0;0;5624;5753;0;0;3586;10076;0;0;0;0;0;0;58817;156281;0;0;"Otros"
2014;1053,00;678;2817;2701;5079;2318;6257;0;0;0;0;6031;7847;829;1721;2182;5988;0;0;1572;11977;5208;25346;5675;20211;3355;7975;2738;4360;4279;14695;5949;12668;1994;6782;6841;13485;3005;11523;6282;9567;2099;5893;1908;3916;1221;5517;1493;5266;0;0;0;0;1500;2785;0;0;5087;5156;0;0;2548;7951;0;0;236;741;0;0;34357;105159;43372;100364;"Otros"
2014;1055,00;2088;5655;0;0;2272;11408;0;0;6636;11806;0;0;3535;9113;0;0;0;0;0;0;17595;62350;0;0;3974;8299;0;0;7136;25122;0;0;9648;23988;0;0;11678;29719;0;0;7940;14939;0;0;3177;12859;0;0;0;0;0;0;1846;5211;0;0;7850;7850;0;0;1970;4657;0;0;654;5166;0;0;87999;238142;0;0;"Otros"
2014;1081,00;0;0;0;0;0;0;0;0;0;0;0;0;168;662;0;0;0;0;0;0;168;631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;921;0;0;0;0;0;0;504;2214;0;0;"Otros"
2014;1099,00;83;113;0;0;89;133;0;0;0;0;0;0;0;0;0;0;265;480;0;0;949;1310;0;0;36;57;0;0;2093;4965;0;0;24;32;0;0;354;384;0;0;296;377;0;0;93;147;0;0;82;98;0;0;58;99;0;0;25;25;0;0;0;0;0;0;0;0;0;0;4447;8220;0;0;"Otros"
2014;529,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;1342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;954;0;0;0;0;0;0;0;0;0;0;60;180;0;0;0;0;0;0;459;2476;0;0;"Otros"
2014;345,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;515,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3403;20204;0;0;55;184;0;0;880;5694;0;0;0;0;0;0;414;904;0;0;60;114;0;0;0;0;0;0;139;511;0;0;0;0;0;0;559;1966;0;0;1927;3795;0;0;0;0;0;0;7437;33372;0;0;"Otros"
2014;174,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;114;0;0;438;850;0;0;0;0;0;0;7;15;0;0;0;0;0;0;13;23;0;0;0;0;0;0;0;0;0;0;890;890;0;0;220;449;0;0;0;0;0;0;1624;2341;0;0;"Otros"
2014;523,00;0;0;0;0;491;994;0;0;0;0;0;0;280;1526;0;0;0;0;0;0;311;916;0;0;0;0;0;0;7196;28160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4929;5642;0;0;3493;9997;0;0;211;1477;0;0;16911;48712;0;0;"Otros"
2014;697,00;1236;2946;0;0;6576;12272;0;0;807;1146;0;0;2844;4505;0;0;0;0;0;0;10503;20082;0;0;2404;3106;0;0;8847;20354;0;0;19293;28060;0;0;0;0;0;0;0;0;0;0;2636;9617;0;0;355;1155;0;0;10031;18565;0;0;2483;2483;0;0;4162;6746;0;0;0;0;0;0;72177;131037;0;0;"Otros"
2014;239,00;3285;4685;0;0;3007;5647;0;0;6920;11554;0;0;3596;7228;0;0;112;625;0;0;21309;52063;0;0;881;2113;0;0;8268;37929;0;0;7134;14144;0;0;0;0;0;0;3358;9391;0;0;2005;5575;0;0;2254;6357;0;0;0;0;0;0;0;4060;0;0;5274;9176;0;0;0;0;0;0;67403;170547;0;0;"Otros"
2014;287,00;3911;6815;0;0;3878;10634;0;0;14080;26328;0;0;2605;4787;0;0;635;850;0;0;22103;77469;0;0;1171;2853;0;0;8571;16500;0;0;948;5552;0;0;5357;9631;0;0;4964;5848;0;0;4106;9730;0;0;831;1402;0;0;1905;9889;0;0;5813;5813;0;0;3133;8541;0;0;0;0;0;0;84011;202642;0;0;"Otros"
2014;377,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;1470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;128;0;0;0;0;0;0;111;1598;0;0;"Otros"
2014;692,00;2297;7790;0;0;1460;4138;0;0;4581;10850;0;0;1210;4318;0;0;1761;8795;0;0;4729;28945;0;0;3032;8822;0;0;4095;16204;0;0;2984;10922;0;0;6079;13215;0;0;3137;10996;0;0;1854;6700;0;0;1068;3471;0;0;2388;5924;0;0;3444;3444;0;0;4688;11254;0;0;0;0;0;0;48807;155788;0;0;"Otros"
2014;335,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;435,00;458;979;0;0;198;939;0;0;1327;2163;0;0;91;156;0;0;174;921;0;0;9015;44796;0;0;220;515;0;0;1406;3771;0;0;3112;10756;0;0;1102;2163;0;0;483;839;0;0;456;992;0;0;950;1995;0;0;729;2455;0;0;359;359;0;0;10070;21146;0;0;0;0;0;0;30150;94945;0;0;"Otros"
2014;423,00;136;456;0;0;303;1013;0;0;423;1412;0;0;92;268;0;0;242;808;0;0;691;2306;0;0;562;1874;0;0;971;3238;0;0;1395;4650;0;0;166;556;0;0;343;1144;0;0;276;921;0;0;154;513;0;0;2605;8684;0;0;167;561;0;0;98;331;0;0;2761;9200;0;0;11385;37935;0;0;"Otros"
2014;351,00;586;1001;0;0;1795;2503;0;0;3417;3726;0;0;584;800;0;0;20;38;0;0;3854;7202;0;0;389;540;0;0;7431;10028;0;0;3941;4386;0;0;2693;3031;0;0;2175;2890;0;0;1006;1504;0;0;319;350;0;0;7792;11430;0;0;381;421;0;0;867;1187;0;0;3762;4539;0;0;41012;55576;0;0;"Otros"
2014;810,00;155;518;0;0;514;1715;0;0;794;2647;0;0;137;455;0;0;236;789;0;0;4498;14995;0;0;434;1447;0;0;2440;8135;0;0;652;2174;0;0;327;1090;0;0;454;1517;0;0;781;2604;0;0;681;2270;0;0;363;1212;0;0;177;593;0;0;52;177;0;0;1085;3626;0;0;13780;45964;0;0;"Otros"
2014;830,00;1728;6223;0;0;1675;5902;0;0;5564;11462;0;0;1821;5840;0;0;858;4316;0;0;5217;26455;0;0;2424;6553;0;0;6831;21912;0;0;4848;16616;0;0;10696;21276;0;0;3351;9064;0;0;1474;7155;0;0;0;0;0;0;1552;5381;0;0;5070;5478;0;0;2591;6212;0;0;0;0;0;0;55700;159845;0;0;"Otros"
