"año";"NCODI";"u1";"u2";"u3";"u4";"u5";"u6";"u7";"u8";"u9";"u10";"u11";"u12";"u13";"u14";"u15";"u16";"u17";"u18";"u19";"u20";"u21";"u22";"u23";"u24";"u25";"u26";"u27";"u28";"u29";"u30";"u31";"u32";"u33";"u34";"u35";"u36";"u37";"u38";"u39";"u40";"u41";"u42";"u43";"u44";"u45";"u46";"u47";"u48";"u49";"u50";"u51";"u52";"u53";"u54";"u55";"u56";"u57";"u58";"u59";"u60";"u61";"u62";"u63";"u64";"u65";"u66";"u67";"u68";"u69";"u70";"u71";"u72";"u73";"u74";"u75";"u76";"u77";"u78";"u79";"u80";"u81";"u82";"u83";"u84";"u85";"u86";"u87";"u88";"u89";"u90";"u91";"u92";"u93";"u94";"u95";"u96";"u97";"u98";"u99";"u100";"u101";"u900"
2013;411,00;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
2013;241,00;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2013;558,00;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0
2013;167,00;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;248,00;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1
2013;224,00;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;591,00;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1
2013;586,00;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0
2013;453,00;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2013;145,00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;511,00;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2013;530,00;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
2013;6,00;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0
2013;161,00;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;623,00;0;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0
2013;489,00;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;875,00;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
2013;940,00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;946,00;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2013;1023,00;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
2013;1054,00;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
2013;1057,00;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2013;1031,00;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1032,00;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
2013;1064,00;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0
2013;226,00;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2013;687,00;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
2013;745,00;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0
2013;109,00;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2013;808,00;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1
2013;971,00;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1
2013;128,00;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2013;919,00;0;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0
2013;725,00;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1
2013;3,00;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;386,00;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2013;306,00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2013;15,00;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2013;264,00;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;867,00;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;910,00;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2013;1053,00;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2013;1055,00;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0
2013;1081,00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1099,00;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;529,00;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2013;345,00;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;515,00;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0
2013;174,00;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
